Initial time: 16197297781619729778 ; 0 ; 2 ; 98559 ; 140663448549120; -1 ; IWANT
1619729779 ; 161 ; 4 ; 98559 ; 140662097323776; -1 ; IWANT
1619729779 ; 162 ; 8 ; 98559 ; 140662088931072; -1 ; IWANT
1619729779 ; 163 ; 9 ; 98559 ; 140662080538368; -1 ; IWANT
1619729779 ; 164 ; 8 ; 98559 ; 140662072145664; -1 ; IWANT
1619729779 ; 165 ; 5 ; 98559 ; 140662063752960; -1 ; IWANT
1619729779 ; 166 ; 3 ; 98559 ; 140662055360256; -1 ; IWANT
1619729779 ; 167 ; 2 ; 98559 ; 140662046967552; -1 ; IWANT
1619729779 ; 168 ; 7 ; 98559 ; 140662038574848; -1 ; IWANT
1619729779 ; 169 ; 3 ; 98559 ; 140662030182144; -1 ; IWANT
1619729779 ; 170 ; 4 ; 98559 ; 140662021789440; -1 ; IWANT
1619729779 ; 171 ; 6 ; 98559 ; 140662013396736; -1 ; IWANT
1619729779 ; 172 ; 4 ; 98559 ; 140662005004032; -1 ; IWANT
1619729779 ; 173 ; 5 ; 98559 ; 140661996611328; -1 ; IWANT
1619729779 ; 174 ; 1 ; 98559 ; 140661988218624; -1 ; IWANT
1619729779 ; 175 ; 4 ; 98559 ; 140661979825920; -1 ; IWANT
1619729779 ; 176 ; 6 ; 98559 ; 140661971433216; -1 ; IWANT
1619729779 ; 177 ; 6 ; 98559 ; 140661963040512; -1 ; IWANT
1619729779 ; 178 ; 7 ; 98559 ; 140661954647808; -1 ; IWANT
1619729779 ; 179 ; 5 ; 98559 ; 140661946255104; -1 ; IWANT
1619729779 ; 180 ; 2 ; 98559 ; 140661937862400; -1 ; IWANT
1619729779 ; 181 ; 9 ; 98559 ; 140661929469696; -1 ; IWANT
1619729779 ; 182 ; 5 ; 98559 ; 140661921076992; -1 ; IWANT
1619729779 ; 183 ; 5 ; 98559 ; 140661912684288; -1 ; IWANT
1619729779 ; 184 ; 2 ; 98559 ; 140661904291584; -1 ; IWANT
1619729779 ; 185 ; 2 ; 98559 ; 140661895898880; -1 ; IWANT
1619729779 ; 186 ; 8 ; 98559 ; 140661887506176; -1 ; IWANT
1619729779 ; 187 ; 1 ; 98559 ; 140661879113472; -1 ; IWANT
1619729779 ; 188 ; 8 ; 98559 ; 140661870720768; -1 ; IWANT
1619729779 ; 189 ; 1 ; 98559 ; 140661862328064; -1 ; IWANT
1619729779 ; 190 ; 4 ; 98559 ; 140661853935360; -1 ; IWANT
1619729779 ; 191 ; 6 ; 98559 ; 140661845542656; -1 ; IWANT
1619729779 ; 192 ; 1 ; 98559 ; 140661837149952; -1 ; IWANT
1619729779 ; 193 ; 8 ; 98559 ; 140661828757248; -1 ; IWANT
1619729779 ; 194 ; 4 ; 98559 ; 140661820364544; -1 ; IWANT
1619729779 ; 195 ; 1 ; 98559 ; 140661811971840; -1 ; IWANT
1619729779 ; 196 ; 3 ; 98559 ; 140661803579136; -1 ; IWANT
1619729779 ; 197 ; 5 ; 98559 ; 140661795186432; -1 ; IWANT
1619729779 ; 198 ; 9 ; 98559 ; 140661786793728; -1 ; IWANT
1619729779 ; 199 ; 6 ; 98559 ; 140661778401024; -1 ; IWANT
1619729779 ; 200 ; 4 ; 98559 ; 140661770008320; -1 ; IWANT
1619729779 ; 201 ; 8 ; 98559 ; 140661761615616; -1 ; IWANT
1619729779 ; 202 ; 2 ; 98559 ; 140661753222912; -1 ; IWANT
1619729779 ; 203 ; 8 ; 98559 ; 140661744830208; -1 ; IWANT
1619729779 ; 204 ; 9 ; 98559 ; 140661736437504; -1 ; IWANT
1619729779 ; 205 ; 6 ; 98559 ; 140661728044800; -1 ; IWANT
1619729779 ; 206 ; 2 ; 98559 ; 140661719652096; -1 ; IWANT
1619729779 ; 207 ; 1 ; 98559 ; 140661711259392; -1 ; IWANT
1619729779 ; 208 ; 1 ; 98559 ; 140661702866688; -1 ; IWANT
1619729779 ; 209 ; 5 ; 98559 ; 140661694473984; -1 ; IWANT
1619729779 ; 210 ; 9 ; 98559 ; 140661686081280; -1 ; IWANT
1619729779 ; 211 ; 7 ; 98559 ; 140661677688576; -1 ; IWANT
1619729779 ; 212 ; 4 ; 98559 ; 140661669295872; -1 ; IWANT
1619729779 ; 213 ; 8 ; 98559 ; 140661660903168; -1 ; IWANT
1619729779 ; 214 ; 9 ; 98559 ; 140661652510464; -1 ; IWANT
1619729779 ; 215 ; 6 ; 98559 ; 140661644117760; -1 ; IWANT
1619729779 ; 216 ; 8 ; 98559 ; 140661635725056; -1 ; IWANT
1619729779 ; 217 ; 1 ; 98559 ; 140661627332352; -1 ; IWANT
1619729779 ; 218 ; 1 ; 98559 ; 140661618939648; -1 ; IWANT
1619729779 ; 219 ; 6 ; 98559 ; 140661610546944; -1 ; IWANT
1619729779 ; 220 ; 7 ; 98559 ; 140661602154240; -1 ; IWANT
1619729779 ; 221 ; 1 ; 98559 ; 140661593761536; -1 ; IWANT
1619729779 ; 222 ; 2 ; 98559 ; 140661585368832; -1 ; IWANT
1619729779 ; 223 ; 6 ; 98559 ; 140661576976128; -1 ; IWANT
1619729779 ; 224 ; 4 ; 98559 ; 140661568583424; -1 ; IWANT
1619729779 ; 225 ; 2 ; 98559 ; 140661560190720; -1 ; IWANT
1619729779 ; 226 ; 4 ; 98559 ; 140661551798016; -1 ; IWANT
1619729779 ; 227 ; 4 ; 98559 ; 140661543405312; -1 ; IWANT
1619729779 ; 228 ; 8 ; 98559 ; 140661535012608; -1 ; IWANT
1619729779 ; 229 ; 6 ; 98559 ; 140661526619904; -1 ; IWANT
1619729779 ; 230 ; 1 ; 98559 ; 140661518227200; -1 ; IWANT
1619729779 ; 231 ; 7 ; 98559 ; 140661509834496; -1 ; IWANT
1619729779 ; 232 ; 3 ; 98559 ; 140661501441792; -1 ; IWANT
1619729779 ; 233 ; 3 ; 98559 ; 140661493049088; -1 ; IWANT
1619729779 ; 234 ; 4 ; 98559 ; 140661484656384; -1 ; IWANT
1619729779 ; 235 ; 8 ; 98559 ; 140661476263680; -1 ; IWANT
1619729779 ; 236 ; 1 ; 98559 ; 140661467870976; -1 ; IWANT
1619729779 ; 237 ; 4 ; 98559 ; 140661459478272; -1 ; IWANT
1619729779 ; 238 ; 2 ; 98559 ; 140661451085568; -1 ; IWANT
1619729779 ; 239 ; 1 ; 98559 ; 140661442692864; -1 ; IWANT
1619729779 ; 240 ; 7 ; 98559 ; 140661434300160; -1 ; IWANT
1619729779 ; 241 ; 6 ; 98559 ; 140661425907456; -1 ; IWANT
1619729779 ; 242 ; 8 ; 98559 ; 140661417514752; -1 ; IWANT
1619729779 ; 243 ; 6 ; 98559 ; 140661409122048; -1 ; IWANT
1619729779 ; 244 ; 4 ; 98559 ; 140661400729344; -1 ; IWANT
1619729779 ; 245 ; 8 ; 98559 ; 140661392336640; -1 ; IWANT
1619729779 ; 246 ; 1 ; 98559 ; 140661383943936; -1 ; IWANT
1619729779 ; 247 ; 7 ; 98559 ; 140661375551232; -1 ; IWANT
1619729779 ; 248 ; 8 ; 98559 ; 140661367158528; -1 ; IWANT
1619729779 ; 249 ; 1 ; 98559 ; 140661358765824; -1 ; IWANT
1619729779 ; 250 ; 6 ; 98559 ; 140661350373120; -1 ; IWANT
1619729779 ; 251 ; 9 ; 98559 ; 140661341980416; -1 ; IWANT
1619729779 ; 252 ; 4 ; 98559 ; 140661333587712; -1 ; IWANT
1619729779 ; 253 ; 4 ; 98559 ; 140661325195008; -1 ; IWANT
1619729779 ; 254 ; 6 ; 98559 ; 140661316802304; -1 ; IWANT
1619729779 ; 255 ; 8 ; 98559 ; 140661308409600; -1 ; IWANT
1619729779 ; 256 ; 4 ; 98559 ; 140661300016896; -1 ; IWANT
1619729779 ; 257 ; 2 ; 98559 ; 140661291624192; -1 ; IWANT
1619729779 ; 258 ; 9 ; 98559 ; 140661283231488; -1 ; IWANT
1619729779 ; 259 ; 3 ; 98559 ; 140661274838784; -1 ; IWANT
1619729779 ; 260 ; 7 ; 98559 ; 140661266446080; -1 ; IWANT
1619729779 ; 261 ; 3 ; 98559 ; 140661258053376; -1 ; IWANT
1619729779 ; 262 ; 1 ; 98559 ; 140661249660672; -1 ; IWANT
1619729779 ; 263 ; 5 ; 98559 ; 140661241267968; -1 ; IWANT
1619729779 ; 264 ; 5 ; 98559 ; 140661232875264; -1 ; IWANT
1619729779 ; 265 ; 9 ; 98559 ; 140661224482560; -1 ; IWANT
1619729779 ; 266 ; 2 ; 98559 ; 140661216089856; -1 ; IWANT
1619729779 ; 267 ; 4 ; 98559 ; 140661207697152; -1 ; IWANT
1619729779 ; 268 ; 5 ; 98559 ; 140661199304448; -1 ; IWANT
1619729779 ; 269 ; 8 ; 98559 ; 140661190911744; -1 ; IWANT
1619729779 ; 270 ; 9 ; 98559 ; 140661182519040; -1 ; IWANT
1619729779 ; 271 ; 2 ; 98559 ; 140661174126336; -1 ; IWANT
1619729779 ; 272 ; 6 ; 98559 ; 140661165733632; -1 ; IWANT
1619729779 ; 273 ; 9 ; 98559 ; 140661157340928; -1 ; IWANT
1619729779 ; 274 ; 7 ; 98559 ; 140661148948224; -1 ; IWANT
1619729779 ; 275 ; 3 ; 98559 ; 140661140555520; -1 ; IWANT
