Initial time: 16216367181621636718 ; 0 ; 2 ; 14029 ; 139725960140544; -1 ; RECVD
1621636718 ; 62 ; 4 ; 14029 ; 139725016758016; -1 ; RECVD
1621636719 ; 59 ; 5 ; 14029 ; 139725041936128; 590 ; TSKEX
1621636719 ; 59 ; 5 ; 14029 ; 139725041936128; 590 ; TSKDN
1621636719 ; 63 ; 1 ; 14029 ; 139725008365312; -1 ; RECVD
1621636719 ; 57 ; 9 ; 14029 ; 139725058721536; 600 ; TSKEX
1621636719 ; 57 ; 9 ; 14029 ; 139725058721536; 600 ; TSKDN
1621636719 ; 63 ; 1 ; 14029 ; 139725008365312; 610 ; TSKEX
1621636719 ; 63 ; 1 ; 14029 ; 139725008365312; 610 ; TSKDN
1621636719 ; 64 ; 2 ; 14029 ; 139724999972608; -1 ; RECVD
1621636719 ; 58 ; 8 ; 14029 ; 139725050328832; 620 ; TSKEX
1621636719 ; 58 ; 8 ; 14029 ; 139725050328832; 620 ; TSKDN
1621636719 ; 65 ; 4 ; 14029 ; 139724991579904; -1 ; RECVD
1621636719 ; 62 ; 4 ; 14029 ; 139725016758016; 630 ; TSKEX
1621636719 ; 62 ; 4 ; 14029 ; 139725016758016; 630 ; TSKDN
1621636719 ; 64 ; 2 ; 14029 ; 139724999972608; 640 ; TSKEX
1621636719 ; 64 ; 2 ; 14029 ; 139724999972608; 640 ; TSKDN
1621636719 ; 60 ; 7 ; 14029 ; 139725033543424; 650 ; TSKEX
1621636719 ; 60 ; 7 ; 14029 ; 139725033543424; 650 ; TSKDN
1621636719 ; 66 ; 7 ; 14029 ; 139724983187200; -1 ; RECVD
1621636719 ; 67 ; 8 ; 14029 ; 139724974794496; -1 ; RECVD
1621636719 ; 65 ; 4 ; 14029 ; 139724991579904; 660 ; TSKEX
1621636719 ; 65 ; 4 ; 14029 ; 139724991579904; 660 ; TSKDN
1621636719 ; 68 ; 1 ; 14029 ; 139724966401792; -1 ; RECVD
1621636719 ; 68 ; 1 ; 14029 ; 139724966401792; 670 ; TSKEX
1621636719 ; 68 ; 1 ; 14029 ; 139724966401792; 670 ; TSKDN
1621636719 ; 69 ; 6 ; 14029 ; 139724958009088; -1 ; RECVD
1621636719 ; 70 ; 1 ; 14029 ; 139724949616384; -1 ; RECVD
1621636719 ; 70 ; 1 ; 14029 ; 139724949616384; 680 ; TSKEX
1621636719 ; 70 ; 1 ; 14029 ; 139724949616384; 680 ; TSKDN
1621636719 ; 71 ; 7 ; 14029 ; 139724941223680; -1 ; RECVD
1621636719 ; 66 ; 7 ; 14029 ; 139724983187200; 690 ; TSKEX
1621636719 ; 66 ; 7 ; 14029 ; 139724983187200; 690 ; TSKDN
1621636719 ; 72 ; 1 ; 14029 ; 139724932830976; -1 ; RECVD
1621636719 ; 72 ; 1 ; 14029 ; 139724932830976; 700 ; TSKEX
1621636719 ; 72 ; 1 ; 14029 ; 139724932830976; 700 ; TSKDN
1621636719 ; 67 ; 8 ; 14029 ; 139724974794496; 710 ; TSKEX
1621636719 ; 67 ; 8 ; 14029 ; 139724974794496; 710 ; TSKDN
1621636719 ; 73 ; 7 ; 14029 ; 139724924438272; -1 ; RECVD
1621636719 ; 69 ; 6 ; 14029 ; 139724958009088; 720 ; TSKEX
1621636719 ; 69 ; 6 ; 14029 ; 139724958009088; 720 ; TSKDN
1621636719 ; 74 ; 5 ; 14029 ; 139724916045568; -1 ; RECVD
1621636719 ; 71 ; 7 ; 14029 ; 139724941223680; 730 ; TSKEX
1621636719 ; 71 ; 7 ; 14029 ; 139724941223680; 730 ; TSKDN
1621636719 ; 75 ; 9 ; 14029 ; 139724907652864; -1 ; RECVD
1621636719 ; 76 ; 2 ; 14029 ; 139724899260160; -1 ; RECVD
1621636719 ; 77 ; 8 ; 14029 ; 139724890867456; -1 ; RECVD
1621636719 ; 74 ; 5 ; 14029 ; 139724916045568; 740 ; TSKEX
1621636719 ; 74 ; 5 ; 14029 ; 139724916045568; 740 ; TSKDN
1621636719 ; 76 ; 2 ; 14029 ; 139724899260160; 750 ; TSKEX
1621636719 ; 76 ; 2 ; 14029 ; 139724899260160; 750 ; TSKDN
1621636719 ; 73 ; 7 ; 14029 ; 139724924438272; 760 ; TSKEX
1621636719 ; 73 ; 7 ; 14029 ; 139724924438272; 760 ; TSKDN
1621636719 ; 78 ; 4 ; 14029 ; 139724882474752; -1 ; RECVD
1621636719 ; 79 ; 6 ; 14029 ; 139724874082048; -1 ; RECVD
1621636719 ; 80 ; 6 ; 14029 ; 139724865689344; -1 ; RECVD
1621636719 ; 78 ; 4 ; 14029 ; 139724882474752; 770 ; TSKEX
1621636719 ; 78 ; 4 ; 14029 ; 139724882474752; 770 ; TSKDN
1621636719 ; 81 ; 4 ; 14029 ; 139724857296640; -1 ; RECVD
1621636719 ; 75 ; 9 ; 14029 ; 139724907652864; 780 ; TSKEX
1621636719 ; 75 ; 9 ; 14029 ; 139724907652864; 780 ; TSKDN
1621636719 ; 82 ; 8 ; 14029 ; 139724848903936; -1 ; RECVD
1621636719 ; 77 ; 8 ; 14029 ; 139724890867456; 790 ; TSKEX
1621636719 ; 77 ; 8 ; 14029 ; 139724890867456; 790 ; TSKDN
1621636719 ; 83 ; 2 ; 14029 ; 139724840511232; -1 ; RECVD
1621636719 ; 79 ; 6 ; 14029 ; 139724874082048; 800 ; TSKEX
1621636719 ; 79 ; 6 ; 14029 ; 139724874082048; 800 ; TSKDN
1621636719 ; 81 ; 4 ; 14029 ; 139724857296640; 810 ; TSKEX
1621636719 ; 81 ; 4 ; 14029 ; 139724857296640; 810 ; TSKDN
1621636719 ; 84 ; 9 ; 14029 ; 139724832118528; -1 ; RECVD
1621636719 ; 80 ; 6 ; 14029 ; 139724865689344; 820 ; TSKEX
1621636719 ; 80 ; 6 ; 14029 ; 139724865689344; 820 ; TSKDN
1621636719 ; 83 ; 2 ; 14029 ; 139724840511232; 830 ; TSKEX
1621636719 ; 83 ; 2 ; 14029 ; 139724840511232; 830 ; TSKDN
1621636719 ; 85 ; 8 ; 14029 ; 139724823725824; -1 ; RECVD
1621636719 ; 86 ; 8 ; 14029 ; 139724815333120; -1 ; RECVD
1621636719 ; 82 ; 8 ; 14029 ; 139724848903936; 840 ; TSKEX
1621636719 ; 82 ; 8 ; 14029 ; 139724848903936; 840 ; TSKDN
1621636719 ; 87 ; 3 ; 14029 ; 139724806940416; -1 ; RECVD
1621636719 ; 88 ; 9 ; 14029 ; 139724798547712; -1 ; RECVD
1621636719 ; 87 ; 3 ; 14029 ; 139724806940416; 850 ; TSKEX
1621636719 ; 87 ; 3 ; 14029 ; 139724806940416; 850 ; TSKDN
1621636719 ; 89 ; 2 ; 14029 ; 139724790155008; -1 ; RECVD
1621636719 ; 84 ; 9 ; 14029 ; 139724832118528; 860 ; TSKEX
1621636719 ; 84 ; 9 ; 14029 ; 139724832118528; 860 ; TSKDN
